date,open,high,low,close
6/26/20,1763.78,1772.14,1747.62,1771.29
6/25/20,1761.17,1768.88,1755.51,1763.79
6/24/20,1768.41,1779.53,1760.67,1761.17
6/23/20,1754.43,1771.14,1747.47,1768.41
6/22/20,1751.51,1763.38,1742.46,1754.43
6/19/20,1722.93,1745.26,1721.79,1743.87
6/18/20,1726.95,1738.15,1717.62,1722.93
6/17/20,1726.57,1730.22,1713.2,1726.95
6/16/20,1725.17,1733.07,1716.85,1726.53
6/15/20,1734.27,1734.33,1704.19,1725.16
6/12/20,1727.7,1743.22,1722.26,1730.75
6/11/20,1738.69,1744.73,1721.71,1727.7
6/10/20,1715.33,1739.76,1708.13,1738.7
6/9/20,1698.57,1720.97,1692.58,1715.33
6/8/20,1683.43,1700.6,1677.83,1698.53
6/5/20,1714.01,1716.39,1670.98,1685.06
6/4/20,1699.67,1721.54,1697.13,1714.01
6/3/20,1727.7,1732.34,1689.56,1699.67
6/2/20,1739.55,1745.4,1721.45,1727.7
6/1/20,1738.64,1744.69,1727.42,1739.55
5/29/20,1718.33,1737.89,1712.5,1730.27
5/28/20,1709.47,1727.65,1707.9,1718.33
5/27/20,1710.61,1715.73,1694.31,1709.47
5/26/20,1726.61,1735.67,1709.14,1710.58
5/25/20,1735.85,1736.77,1721.24,1731.95
5/22/20,1727,1740.29,1724.45,1734.68
5/21/20,1748.18,1748.99,1717.02,1727
5/20/20,1745.05,1754,1742.49,1748.18
5/19/20,1732.55,1748.13,1726.28,1745.05
5/18/20,1746.86,1765.43,1727.4,1732.55
5/15/20,1730.35,1751.69,1728.99,1743.67
5/14/20,1716.28,1736.55,1711.23,1730.3
5/13/20,1702.56,1718.53,1699.31,1716.28
5/12/20,1697.93,1711.21,1693.33,1702.7
5/11/20,1703.35,1711.7,1691.99,1697.93
5/8/20,1716.06,1723.13,1699.82,1702.7
5/7/20,1685.71,1722.07,1676.81,1716.06
5/6/20,1705.95,1708.41,1682.07,1685.71
5/5/20,1701.96,1711.83,1690.82,1705.92
5/4/20,1697.96,1714.67,1691.95,1702.07
5/1/20,1686.5,1705.86,1670.71,1700.42
4/30/20,1713.41,1721.68,1681.2,1686.5
4/29/20,1707.77,1718,1697.94,1713.41
4/28/20,1713.98,1714.49,1692.59,1707.79
4/27/20,1728.73,1729.06,1706.3,1713.99
4/24/20,1730.48,1736.42,1710.79,1729.6
4/23/20,1714.08,1739.28,1707.36,1730.51
4/22/20,1686.2,1718.76,1680.45,1714.08
4/21/20,1695.64,1698.21,1659.55,1686.2
4/20/20,1679.03,1702.9,1672.27,1695.65
4/17/20,1717.69,1720.95,1679.94,1682.82
4/16/20,1717.03,1738.7,1708.37,1717.7
4/15/20,1726.97,1731.4,1708.29,1717.03
4/14/20,1715.34,1747.36,1709.18,1726.97
4/13/20,1688.18,1724.11,1676.03,1715.34
4/10/20,1684.07,1696.65,1683.25,1696.65
4/9/20,1646.16,1690.32,1642.08,1683.73
4/8/20,1647.72,1657.08,1640.9,1646.14
4/7/20,1660.09,1679.68,1642.92,1647.72
4/6/20,1620.66,1669.54,1609.35,1660.97
4/3/20,1613.99,1625.85,1606.98,1620.81
4/2/20,1591.26,1620.49,1583.19,1613.99
4/1/20,1577.18,1600.75,1569.07,1591.51
3/31/20,1622.52,1625.02,1574.73,1577.18
3/30/20,1638.83,1639.61,1611.93,1622.51
3/27/20,1630.79,1640.4,1613.7,1628.16
3/26/20,1617.15,1645.02,1593.15,1631.34
3/25/20,1632.49,1642.55,1595.13,1616.9
3/24/20,1553.23,1634.16,1553.17,1632.32
3/23/20,1500.82,1561.42,1484.35,1553.23
3/20/20,1471.24,1516.07,1455.06,1498.65
3/19/20,1486.05,1501.13,1464.3,1471.24
3/18/20,1528.33,1546.41,1473.04,1486.05
3/17/20,1514.1,1553.91,1465.83,1528.3
3/16/20,1571.12,1575.47,1451.55,1514.1
3/13/20,1576.15,1597.98,1504.78,1529.83
3/12/20,1635.05,1650.43,1560.87,1576.15
3/11/20,1649.4,1671.31,1633.13,1635.04
3/10/20,1680.47,1680.75,1641.75,1649.4
3/9/20,1694.44,1703.39,1657.71,1680.47
3/6/20,1672.23,1692.15,1642.73,1673.83
3/5/20,1636.93,1674.74,1635.07,1672.23
3/4/20,1640.9,1652.67,1631.96,1636.93
3/3/20,1589.44,1649.38,1586.67,1640.9
